"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 16 06:37:00 GMT 2025","Thu Oct 16 06:37:00 GMT 2025","0","","Pruebas de ejemplo","","","","Test con resultados variados",""
"failed","Thu Oct 16 06:37:00 GMT 2025","Thu Oct 16 06:37:00 GMT 2025","0","","Pruebas de ejemplo","","","","Test con resultados variados",""
