"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 15 11:20:53 GMT 2025","Wed Oct 15 11:20:53 GMT 2025","1","","Pruebas de ejemplo","","","","Test con resultados variados",""
"passed","Wed Oct 15 11:20:53 GMT 2025","Wed Oct 15 11:20:53 GMT 2025","0","","Pruebas de ejemplo","","","","Test con resultados variados",""
